host_id,host_name,is_superhost
807961,Justin,0.0
813096,Mandy,1.0
813141,Ingrid,0.0
813873,Nathan,0.0
818213,Joao,1.0
819516,Jason,0.0
819894,Montana,1.0
820045,Richard,0.0
822284,Rae And Charlie,1.0
823433,Frank,1.0
824311,Sandeep,0.0
826638,Yarinda,0.0
829269,Elodie,0.0
831665,Jonathan,0.0
832218,Connie,0.0
840491,Sundiatu,1.0
842737,Simon,1.0
843854,Anshera,0.0
846127,Tina,1.0
849519,Skye,0.0
851332,Cyan,0.0
851512,Deb,1.0
852089,Pal,0.0
855772,Robert,1.0
856050,Hugh,0.0
857350,Fahri,1.0
857701,Dirk Herbert Meichler,1.0
858493,Luiz,1.0
859604,Leah,0.0
859759,Tatiana,0.0
862386,Leo And Veneranda,1.0
864814,Alexandru,0.0
865413,Marco,0.0
871053,Doreen &  Nichola,0.0
871182,Patrick,0.0
871935,Neha,1.0
872139,Stephanie,0.0
876774,Heather,1.0
877830,Davide,0.0
878083,Kyri,1.0
878370,Anders Per,0.0
878590,Matt,0.0
880461,Al,0.0
884708,Dawn,1.0
887201,Jessie Liu,1.0
889051,Rosa,0.0
889184,Vadim,1.0
889401,Mae,0.0
889670,Narumon,0.0
892187,Wayne,0.0
892497,Guillermo,0.0
896967,Ana,0.0
900386,Kate,1.0
907547,Nuke,1.0
909122,Luna,1.0
913861,Ann,1.0
913910,Mandy,0.0
914337,Moushe,0.0
916462,Gloria,0.0
923042,Katherine,1.0
923591,Emma,0.0
928918,Dave,0.0
930293,Maria,1.0
930490,Sion,0.0
939005,Magali,0.0
939134,Ren & Nick,0.0
939158,Katherina,0.0
939309,Angela,0.0
940283,Andrew,0.0
942508,Elaine,0.0
943900,Moss,0.0
947858,Rasheed Mahmood,0.0
949926,Tobias & Annette,1.0
951125,Notting Hill Rentals,1.0
953980,Caroline,1.0
954713,Gill,1.0
959965,Sophie,0.0
960024,Swati,0.0
960892,Vajirune,0.0
962554,Arfa,0.0
967089,Carmel,0.0
967537,Ryan,0.0
967645,Radhika And Lorenzo,1.0
968464,Catia,0.0
971520,Denis,1.0
972094,Amos,0.0
973588,Edwin,0.0
974617,Johnny,1.0
974683,Paula,1.0
975628,Vivien,0.0
976809,Adam,0.0
977468,Mike,1.0
979363,Donovan,1.0
979962,Hassan,1.0
982001,Caroline,1.0
982999,Joshua,1.0
985350,Chiana,1.0
987819,Paul,0.0
990215,Chris,0.0
993694,Tara,0.0
994795,Beck,0.0
995335,Julie,0.0
1000630,Erion,1.0
1002497,Maria,1.0
1002864,Dan,0.0
1003607,Alicia,0.0
1009465,Serena,0.0
1011682,Scott,1.0
1021126,Ivan Anjien Bakus,0.0
1022500,Thomas,1.0
1023326,Jocelyn,1.0
1026967,James,0.0
1027094,Lynne,0.0
1029527,Rebecca,0.0
1030040,Marc,0.0
1032838,Chiara,1.0
1034774,Elizabeth,0.0
1038573,Tais,0.0
1090342,John,0.0
1095685,Nichola,0.0
1098013,Angela,1.0
1098320,Stefano,0.0
1099724,John,0.0
1101219,Petrina,0.0
1105535,Rg,0.0
1106081,Xenia,1.0
1106757,Kerry,1.0
1106924,Gladys,0.0
1109768,Darren,0.0
1110910,Jamie,0.0
1111501,Shelene,0.0
1111601,Tobias Mead,1.0
1111645,Daniele,1.0
1111875,Ellen,0.0
1112096,Irene McCarthy,1.0
1113031,Martyna,0.0
1115673,Evan,1.0
1116804,Debbie,1.0
1122857,Jill,0.0
1123533,Justina,0.0
1123788,Thomas John,1.0
1125504,Costas,0.0
1130869,Samuel,0.0
1131701,Cristiane,0.0
1137860,Lucy,0.0
1138474,Tanya,0.0
1139308,David,0.0
1140715,Chonnikan,0.0
1141551,Romana,0.0
1146553,Matt,0.0
1148398,Jennifer,1.0
1148689,Georgiana,1.0
1149448,Henry,0.0
1152351,Pannarai,1.0
1155928,Anahi,0.0
1158429,Anastasia,0.0
1161486,Catherine,0.0
1163220,Mehmet,0.0
1165522,Jagtaj Singh,0.0
1167371,Jacqueline,1.0
1168208,Ashleigh,0.0
1169945,Beverley,0.0
1172627,Audrey,0.0
1173122,Louise,1.0
1175642,Susannah,0.0
1176767,Natalie,0.0
1176859,Justin,1.0
1178001,Dilys,1.0
1178056,Timothy,1.0
1181317,Li Yee,0.0
1181682,Tanya,1.0
1188759,Onur,0.0
1189280,Alexis,0.0
1189878,Hakan,0.0
1190865,James,1.0
1192318,Rodrigo,0.0
1194791,Stepas,1.0
1195419,Maria Ivana,0.0
1197888,Louise,0.0
1198627,Roman,1.0
1199849,Ola,0.0
1202593,Lindsay,0.0
1204416,Hamilton,0.0
1206928,John,0.0
1208878,Damien,0.0
1210082,Lucy,0.0
1212307,Annemarie,0.0
1219410,Kobi,0.0
1220294,Gurvinder,0.0
1223500,Rembrandt Hotel Bangkok,0.0
1224276,Lucy,1.0
1228683,Sanchia,1.0
1233171,Travis,0.0
1236092,Soren,1.0
1237006,⁨T.⁩,0.0
1237638,Caroline,0.0
1238901,Vanessa,1.0
1242644,Cleu,0.0
1244288,David,1.0
1245194,Brigitte Susanne,1.0
1248282,Victoria,0.0
1248871,Rebecca,1.0
1249868,Sabrina,0.0
1249977,Ting,0.0
1251427,Benjamin,0.0
1251752,Gal,0.0
1253276,Jenny,0.0
1253932,Muay-Chuthipak,0.0
1257023,Gulcin,0.0
1258748,Iddo,0.0
1261500,Hugh,0.0
1261783,Hayden,0.0
1267401,Helen,0.0
1269568,Iki,0.0
1270644,Sheridan,1.0
1270755,Claire,1.0
1271134,Sophia,0.0
1273234,Natalie,0.0
1273759,Genevieve,0.0
1275237,Vincenzo,0.0
1275907,Madeleine,1.0
1276356,Anna,0.0
1279002,Hayley,0.0
1286735,Alberto,1.0
1290135,Simon,0.0
1290713,Doerte,1.0
1291445,Winston,0.0
1293895,Prayer,1.0
1294556,Emma,0.0
1296771,Shiromi,0.0
1296849,Brgs,0.0
1296946,Jelena,0.0
1299768,Qadar,1.0
1300581,Orla,0.0
1300603,Julia,1.0
1302320,Rodrigo,0.0
1302747,Helen,1.0
1302946,Robin,1.0
1305178,Judy,1.0
1305388,Angie,0.0
1305938,Mo,0.0
1308132,Erce,1.0
1310030,Claudia,1.0
1310436,Wongsatorn,1.0
1311176,Iseult,1.0
1315562,Nicoletta,0.0
1318523,Tom,0.0
1320734,Tom,0.0
1322611,Patrick,0.0
1324467,Sarah,0.0
1325016,Gig,1.0
1325711,Roman,1.0
1327648,Ryan,1.0
1330009,Annamaria,0.0
1331819,Holidays By Etch,1.0
1332259,Melanie,0.0
1337510,Gloria,1.0
1339807,Tina,1.0
1344485,Abraham,0.0
1344631,Sara And Martin,1.0
1345605,Anoop,1.0
1345727,Kevin,0.0
1345766,Rino,1.0
1346805,Sarah,0.0
1347283,Lisa,1.0
1348549,Jason,0.0
1348667,Tom,1.0
1354765,Issaree,0.0
1354833,Joshua,0.0
1356865,Raymond,0.0
1358673,Sabina,0.0
1361224,Oscar,0.0
1361598,Gary,0.0
1362078,Louise,0.0
1365824,Helen,1.0
1366336,Rafaela,0.0
1367883,Alex,1.0
1368833,Milli,0.0
1369081,Mirjam,1.0
1376700,Sharon & Tom,1.0
1376767,Shirley,1.0
1379577,Jordan,0.0
1379984,Richard,0.0
1380473,Lauren,0.0
1380811,Christina,0.0
1383749,Henrietta,0.0
1384320,Steven,0.0
1384778,Ian,1.0
1387518,Rod,1.0
1387801,Kristin,0.0
1388283,Gisele,0.0
1389063,Sue,0.0
1390376,Juri,0.0
1391360,David,0.0
1398365,Nat,0.0
1405119,Simon,0.0
1405621,Claudius,1.0
1407907,Holiday Patterns,1.0
1408974,Hugh,1.0
1409296,Riley,0.0
1411399,Carlos,0.0
1413893,Razzak,0.0
1416605,Emma,1.0
1416988,Rupal And Josh,1.0
1419403,Marc,0.0
1419856,Ani,0.0
1424990,Scott,1.0
1425167,Jupiter Lee,1.0
1425515,Peter,1.0
1425635,Charlotte,0.0
1428322,Mel,1.0
1428356,Karl,1.0
1428739,Warren,0.0
1428906,Petra,0.0
1429305,Big City Stay,0.0
1431666,Lm,0.0
1432477,City Relay,0.0
1432631,Peachy Stays,1.0
1433228,Laura,0.0
1433765,Eugenie,1.0
1436884,Mahsa,0.0
1438135,Candy,0.0
1438723,Neried,0.0
1439128,Riz,1.0
1440018,Andrea,0.0
1440068,Sarah + Matteo,1.0
1441675,Alastair,0.0
1442539,Heather,0.0
1443431,Kerensa,0.0
1443676,Giulia,0.0
1444374,Livia,1.0
1444493,Alexandre,1.0
1449119,Zoe,0.0
1449557,Gail,1.0
1449797,Greg,0.0
1450313,Sophie,1.0
1451024,Liz,0.0
1456999,Simore Family Guest House,0.0
1458935,Sergio,1.0
1459906,Irene,0.0
1460480,Karren,0.0
1463818,Amporn,0.0
1464975,Sue,1.0
1466786,Francesca,0.0
1466876,Roo,0.0
1468796,Lilian,1.0
1469674,Karla,0.0
1469799,Roogaya,0.0
1470010,Sharon,1.0
1470579,Angelo,0.0
1470975,Abul,0.0
1472490,Inês,0.0
1472591,⁨Sukij M.⁩,1.0
1473838,Mel,0.0
1476568,Tanya,0.0
1476754,Nina,0.0
1477718,Ellie,0.0
1478595,Lynne,0.0
1480363,James,0.0
1481196,Krissy,0.0
1481412,Luca,0.0
1482496,Col,1.0
1482918,Erika,0.0
1482955,Edem,0.0
1484158,Anna,0.0
1488212,Tadeusz,0.0
1489441,Melanie,0.0
1490390,Neocr Ltd,0.0
1491340,Paulina And Cheyne,0.0
1492469,Tanya,0.0
1493019,Adrian,0.0
1493182,Sophie,0.0
1495162,Hannah,0.0
1496340,Pedro,0.0
1496946,Caroline Curate Residences,0.0
1500977,Suraj,0.0
1502158,Gabriela,1.0
1502472,FashionDesign,0.0
1502813,Todd,1.0
1503015,Cecilia,0.0
1503215,Johanna,0.0
1503935,Maya,1.0
1504322,Alex,1.0
1504775,Valentina,0.0
1505205,Laura,0.0
1506835,Peter James,0.0
1512228,Madeline,0.0
1513875,Suchada,1.0
1514376,Emma,0.0
1514565,Birdy,1.0
1515001,Paul,0.0
1515280,Patrick,0.0
1516656,Fei,0.0
1517652,Alex,0.0
1520241,Antonio,1.0
1521032,Oliver,0.0
1521345,Jessica Elizabeth,0.0
1521435,Milena,0.0
1522429,Jackie,0.0
1522887,Mica,1.0
1524875,Tom,0.0
1526109,Andrew,1.0
1526138,Caroline,1.0
1527076,James,0.0
1527176,Gill,0.0
1529715,Jeroen,1.0
1531283,Ceila,1.0
1532431,Teresa,0.0
1537067,Al & Tanya,0.0
1538856,Andrew,0.0
1539156,Anna Marie,0.0
1539491,Di,0.0
1540253,Vera,0.0
1541730,Kalyakorn,0.0
1545619,Zuzie,1.0
1545639,Christopher,0.0
1546794,Richard,1.0
1546859,Mohamed,0.0
1547862,Martin,1.0
1549137,Rita,0.0
1554449,Karl,1.0
1554986,Paul,0.0
1558297,Anne,0.0
1561186,Massimo,1.0
1563154,Ariel,1.0
1568913,Ramon & Marie,1.0
1569164,Colin,0.0
1569444,Jacqueline,1.0
1569696,Shakuntala,1.0
1570344,Virginia,1.0
1573577,Frances,1.0
1573870,Robert,0.0
1574095,Ivan,1.0
1575800,Mary,0.0
1577284,Russell,0.0
1581419,Catherine,0.0
1581431,Rachel,0.0
1581619,Mark,0.0
1582345,Oran,0.0
1583901,Etan,1.0
1584404,Rubina,0.0
1586544,Teresa,0.0
1586698,Lorenzo,0.0
1589079,Lyssiemay,0.0
1589191,Danielle,0.0
1589480,Sam,0.0
1590545,David,0.0
1590736,Candee,0.0
1591664,Boris,1.0
1592032,Anna,1.0
1593717,Alexandra,1.0
1594376,Ruta,1.0
1595429,Alice,0.0
1596176,Shelley,0.0
1598601,Simon,0.0
1599044,Robert And Antonio,1.0
1600996,Diana,0.0
1606230,Jose,1.0
1608226,Pippa,1.0
1610430,Roberto & Yolanda,1.0
1610754,Sasa,0.0
1612510,Julie,0.0
1614011,Karen,0.0
1614205,Lara,0.0
1616720,Anna,1.0
1616806,Rob,1.0
1617271,Kenneth,0.0
1618469,Phillip,0.0
1618665,Mike,1.0
1619024,Sally,0.0
1619435,Chris,0.0
1620965,Peter,0.0
1621004,Gideon,1.0
1621770,Leah & Katie,1.0
1623478,Gavin,0.0
1624629,Alex,1.0
1624979,James,1.0
1625583,Yang Jinhong,1.0
1631033,Sandra,1.0
1631179,Nina,0.0
1638465,Eyup,1.0
1640831,Liv,1.0
1643549,Maxime,0.0
1643986,Andrew,0.0
1645632,Jimmy & Janie,1.0
1646057,Karin,1.0
1647125,Tristan,1.0
1647262,Paula,0.0
1647424,Vishal,0.0
1647950,Celia,1.0
1649775,Joanne,0.0
1650802,Farrah,0.0
1651049,Antonio,0.0
1654085,Rebecca,0.0
1658208,Juli,0.0
1658402,Laura,0.0
1660254,Maz,1.0
1663503,Alex,1.0
1664169,Stephen,1.0
1665232,Nader,0.0
